 IPEC_PMODB_CHEBYSHEV: Reconstructed perturbed mod b by chebyshev
 
    jac_out = hamada  
      cstep =    256      mpert =  33   mthsurf = 960
 
              psi    m       real(lagb)       imag(lagb)       real(divx)       imag(divx)
   2.79939046E-02    1   1.21183962E-04  -2.31402533E-05  -9.64692940E-04   1.28483558E-03
   2.79939046E-02    2   1.27897493E-04  -1.31351882E-04  -2.82308628E-04   3.03727338E-04
   2.79939046E-02    3   2.09245002E-05   1.00029974E-05  -7.04497937E-05  -7.19726245E-06
   2.79939046E-02    4   1.11316896E-05   7.93107693E-06  -8.49692972E-05   7.76775491E-05
   2.79939046E-02    5  -1.75104926E-05  -1.62207699E-05   2.57940349E-05   3.77814937E-05
   2.79939046E-02    6  -1.69002581E-05  -1.79315227E-05   3.24677021E-05   3.80604609E-05
   2.79939046E-02    7  -1.05616162E-06  -1.12304939E-06   8.27551606E-06   1.04136192E-05
   2.79939046E-02    8  -3.93052988E-06  -2.96878509E-06   7.40999852E-06   6.05980483E-06
   2.79939046E-02    9   1.44668275E-06   8.19854525E-07   1.10297854E-07   1.00865202E-06
   2.79939046E-02   10  -2.40888116E-06  -1.04480964E-06   3.32175494E-06   2.01359007E-06
   2.79939046E-02   11   4.33789132E-07  -3.27886319E-07   6.97796610E-07   1.56072256E-06
   2.79939046E-02   12  -1.36663262E-06  -3.77478931E-07   2.09091847E-06   1.37688306E-06
   2.79939046E-02   13  -1.78264000E-07  -6.99288322E-07   1.10637488E-06   1.87675279E-06
   2.79939046E-02   14  -8.72416888E-07  -4.55408823E-07   1.68104169E-06   1.59629528E-06
   2.79939046E-02   15  -4.46586661E-07  -5.96114247E-07   1.29412845E-06   1.63696106E-06
